codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,pais,region
1000005,DGA,dga_web,Visviri,4080,-17.595,-69.4831,10.0,Altiplanicas,100.0,Entre Limite Peru-Bolivia Y Rio Lauca,Chile,Región de Arica y Parinacota
1001001,DGA,dga_web,Rio Caquena En Nacimiento,4385,-18.0769,-69.1961,10.0,Altiplanicas,100.0,Eentre Limite Peru-Bolivia Y Rio Lauca,Chile,Región de Arica y Parinacota
1001002,DGA,dga_web,Rio Caquena En Vertedero,0,-17.9942,-69.255,10.0,Altiplanicas,100.0,Eentre Limite Peru-Bolivia Y Rio Lauca,Chile,Región de Arica y Parinacota
1001003,DGA,dga_web,Rio Colpacagua En Desembocadura,0,-18.0156,-69.2308,10.0,Altiplanicas,100.0,Eentre Limite Peru-Bolivia Y Rio Lauca,Chile,Región de Arica y Parinacota
1001005,DGA,dga_web,Caquena,4400,-18.0542,-69.2017,10.0,Altiplanicas,100.0,Entre Limite Peru-Bolivia Y Rio Lauca,Chile,Región de Arica y Parinacota
10100001,DGA,dga_web,Rio Huahum En Desembocadura Lago Pirihueico,598,-40.0175,-71.72,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10100002,DGA,dga_web,Rio Fui En Desage Lago Pirihueico,600,-39.8747,-71.8897,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10100004,DGA,dga_web,Pirihueico En Pirihueico,600,-40.0225,-71.7219,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10100005,DGA,dga_web,Pirihueico En Pto. Fuy,600,-39.8719,-71.8889,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10100006,DGA,dga_web,Rio Huahum En La Frontera,616,-40.0967,-71.6758,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
1010002,DGA,dga_web,Rio Chungara En Desembocadura,4518,-18.2833,-69.1333,10.0,Altiplanicas,101.0,Lago Chungara,Chile,Región de Arica y Parinacota
1010007,DGA,dga_web,Chungara Reten,4570,-18.2808,-69.1383,10.0,Altiplanicas,101.0,Lago Chungara,Chile,Región de Arica y Parinacota
1010008,DGA,dga_web,Missituni,4720,-18.3478,-69.1342,10.0,Altiplanicas,101.0,Lago Chungara,Chile,Región de Arica y Parinacota
1010009,DGA,dga_web,Chungara Guarderia,4600,-18.2669,-69.1167,10.0,Altiplanicas,101.0,Lago Chungara,Chile,Región de Arica y Parinacota
1010010,DGA,dga_web,Chungara Ajata,4585,-18.2353,-69.1833,10.0,Altiplanicas,101.0,Lago Chungara,Chile,Región de Arica y Parinacota
10102001,DGA,dga_web,Rio Liquine En Liquine,600,-39.7267,-71.8497,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10102002,DGA,dga_web,Liquie,230,-39.7272,-71.8506,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10103001,DGA,dga_web,Lago Neltume,260,-39.8189,-71.9872,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10106001,DGA,dga_web,Coaripe,215,-39.5744,-72.0053,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10106002,DGA,dga_web,Lago Calafquen,385,-39.5469,-72.1519,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de Los Ríos
10106003,DGA,dga_web,Lican-Ray,275,-39.4681,-72.1653,101.0,Rio Valdivia,1010.0,Rio Valdivia Alto (Hasta Desague Lago Panguipulli),Chile,Región de la Araucanía
